column,repeat_count
SimilarVerticals,130363
SimilarDescription,121034
Co_InvestorName,33789
PrimaryCompanyVerticals,27664
Description,17869
Vertical,14949
Verticals,14949
CompetitorVerticals,14150
CompetitorDescription,13363
Keywords,12111
CEOBiography,9860
InvestorName,8687
Biography,8129
PreferredVerticals,6796
CompanyName,6485
DealSynopsis,4772
InvestorWebsite,4393
SimilarCompanyName,4012
EmergingSpaces,1513
FinancingStatusNote,1498
FundName,1337
EntityName,1312
Seller_ExiterName,1066
InvestorFundName,896
PrimaryCompany,893
FullTitle,839
EntityWebsite,824
PrimaryCompanyWebsite,625
AdditionalNotes,621
CompetitorName,509
RepresentingEntityName,484
ServiceToName,475
Website,458
Email,433
AffiliateName,430
CEOEmail,418
TargetCompanyName,402
RepresentingName,351
CompanyLegalName,336
LinkedInProfileURL,307
HQEmail,258
PrimaryPosition,235
PrimaryContactEmail,223
LastInvestmentCompany,221
TwitterProfileURL,210
CEOEducation,197
FacebookProfileURL,163
Major_Concentration,143
LastCommitedFund,129
InvestorLegalName,113
CompanyFormerName,104
Investor,98
FundFamily,96
CompanyNameHeld,58
LastClosedFundName,57
Source,52
Sources,52
ServiceProviderName,50
SimilarCompanyHQAddressLine1,48
InvestorFormerName,45
LimitedPartnerName,35
Address1,33
PrimaryContactTitle,31
FirstFund,30
LeadPartnerName,28
RoleOnBoard,26
AddressLine1,24
ParentCompany,21
AdvisoryTitle,20
FullName,15
CompanyAlsoKnownAs,13
Seller_ExiterFundName,13
HQAddressLine1,10
PersonName,10
InvestorAlsoKnownAs,9
FundFormerName,8
PrimaryContact,8
FirstName,7
PrimaryContactFirstName,7
AddOnSponsors,6
FundNo,6
PolicyDescription,6
LimitedPartnerLegalName,5
ServiceProviderLegalName,5
SimilarCompanyHQAddressLine2,5
AddressLine2,4
SimilarCompanyHQCity,4
SimilarCompanyHQLocation,4
CEO,3
LastName,3
LenderName,3
Address2,2
CEOLastName,2
Investor2,2
PrimaryContactLastName,2
AddOnPlatform,1
CEOFirstName,1
HQAddressLine2,1
Investor3,1
MiddleName,1
