file,column,repeat_count
CompanySimilarRelation.csv,SimilarVerticals,130363
CompanySimilarRelation.csv,SimilarDescription,121034
InvestorCoInvestorRelation.csv,Co_InvestorName,33789
Person.csv,PrimaryCompanyVerticals,27664
Company.csv,Verticals,14949
CompanyVerticalRelation.csv,Vertical,14949
CompanyCompetitorRelation.csv,CompetitorVerticals,14150
CompanyCompetitorRelation.csv,CompetitorDescription,13363
Company.csv,Description,12308
Company.csv,Keywords,12111
Deal.csv,CEOBiography,9860
Person.csv,Biography,8129
Investor.csv,PreferredVerticals,5703
Investor.csv,Description,5054
Deal.csv,DealSynopsis,4772
DealInvestorRelation.csv,InvestorName,4033
CompanySimilarRelation.csv,SimilarCompanyName,4012
CompanyInvestorRelation.csv,InvestorName,3789
DealInvestorRelation.csv,InvestorWebsite,2215
CompanyInvestorRelation.csv,InvestorWebsite,2071
InvestorInvestmentRelation.csv,CompanyName,1660
Company.csv,EmergingSpaces,1513
Company.csv,FinancingStatusNote,1498
CompanyInvestorRelation.csv,CompanyName,1445
PersonPositionRelation.csv,EntityName,1195
Fund.csv,PreferredVerticals,1093
DealSellerRelation.csv,Seller_ExiterName,1066
Deal.csv,CompanyName,1003
DealInvestorRelation.csv,InvestorFundName,896
Person.csv,PrimaryCompany,893
PersonPositionRelation.csv,EntityWebsite,824
Person.csv,PrimaryCompanyWebsite,625
Fund.csv,AdditionalNotes,621
InvestorExitRelation.csv,CompanyName,597
EntityBoardTeamRelation.csv,FullTitle,522
CompanyCompetitorRelation.csv,CompetitorName,509
PersonAffiliatedDealRelation.csv,RepresentingEntityName,484
ServiceProviderInvFundRelation.csv,FundName,440
Person.csv,Email,433
Deal.csv,CEOEmail,418
PersonAffiliatedDealRelation.csv,CompanyName,411
Company.csv,CompanyName,403
CompanyBuySideRelation.csv,TargetCompanyName,402
ServiceProvider.csv,Description,387
Investor.csv,InvestorName,386
Company.csv,CompanyLegalName,336
PersonPositionRelation.csv,FullTitle,313
PersonBoardSeatRelation.csv,CompanyName,308
PersonAffiliatedFundRelation.csv,FundName,289
DealServiceProviderRelation.csv,ServiceToName,282
Company.csv,Website,278
Company.csv,LinkedInProfileURL,258
LPDirectInvestmentRelation.csv,CompanyName,251
Person.csv,PrimaryPosition,235
InvestorFundRelation.csv,FundName,227
Investor.csv,LastInvestmentCompany,221
ServiceProviderCompDealRelation.csv,CompanyName,218
Fund.csv,FundName,214
Company.csv,TwitterProfileURL,210
EntityBoardTeamRelation.csv,RepresentingName,198
Deal.csv,CEOEducation,197
ServiceProviderInvFundRelation.csv,InvestorName,195
FundServiceProviderRelation.csv,ServiceToName,193
EntityAffiliateRelation.csv,AffiliateName,185
LPFundCommitmentRelation.csv,FundName,167
Investor.csv,Website,166
Company.csv,FacebookProfileURL,163
PersonBoardSeatRelation.csv,RepresentingName,153
FundInvestmentRelation.csv,CompanyName,144
PersonEducationRelation.csv,Major_Concentration,143
Company.csv,HQEmail,142
ServiceProviderInvestorRelation.csv,InvestorName,132
InvestorLimitedPartnerRelation.csv,LastCommitedFund,129
CompanyAffiliateRelation.csv,AffiliateName,125
Company.csv,PrimaryContactEmail,124
InvestorAffiliateRelation.csv,AffiliateName,120
LimitedPartner.csv,Description,120
PersonAdvisoryRelation.csv,EntityName,117
Investor.csv,InvestorLegalName,113
Investor.csv,HQEmail,111
Company.csv,CompanyFormerName,104
Investor.csv,PrimaryContactEmail,97
Fund.csv,FundFamily,96
PersonAffiliatedFundRelation.csv,InvestorName,78
Fund.csv,Investor,74
FundInvestorRelation.csv,InvestorName,74
Fund.csv,InvestorWebsite,71
Investor.csv,LastClosedFundName,56
EntityBoardSeatHeldRelation.csv,CompanyNameHeld,52
FundReturnRelation.csv,Sources,52
FundReturnReporterRelation.csv,Source,52
Person.csv,LinkedInProfileURL,49
CompanySimilarRelation.csv,SimilarCompanyHQAddressLine1,48
Investor.csv,InvestorFormerName,45
ServiceProviderCompanyRelation.csv,CompanyName,45
FundInvestorRelation.csv,InvestorWebsite,36
Fund.csv,FirstFund,30
Company.csv,PrimaryContactTitle,28
DealTrancheRelation.csv,Investor,24
Person.csv,AddressLine1,24
CompanyServiceProviderRelation.csv,ServiceProviderName,22
PersonAdvisoryRelation.csv,AdvisoryTitle,20
EntityLocationRelation.csv,Address1,16
DealServiceProviderRelation.csv,ServiceProviderName,15
DealInvestorRelation.csv,LeadPartnerName,14
EntityBoardTeamRelation.csv,RoleOnBoard,14
InvestorInvestmentRelation.csv,LeadPartnerName,14
Company.csv,CompanyAlsoKnownAs,13
DealSellerRelation.csv,Seller_ExiterFundName,13
CompanyLocationRelation.csv,Address1,12
PersonBoardSeatRelation.csv,RoleOnBoard,12
Investor.csv,ParentCompany,11
ServiceProvider.csv,ServiceProviderName,11
EntityBoardTeamRelation.csv,PersonName,10
InvestorLimitedPartnerRelation.csv,LimitedPartnerName,10
Company.csv,ParentCompany,9
Investor.csv,InvestorAlsoKnownAs,9
Person.csv,FullName,9
ServiceProvider.csv,Website,9
Fund.csv,FundFormerName,8
FundLPCommitmentRelation.csv,LimitedPartnerName,8
FundLimitedPartnerRelation.csv,LimitedPartnerName,8
Investor.csv,PrimaryContact,7
LimitedPartner.csv,LimitedPartnerName,7
Person.csv,FirstName,7
Company.csv,HQAddressLine1,6
CompanyBoardSeatHeldRelation.csv,CompanyNameHeld,6
Deal.csv,AddOnSponsors,6
Fund.csv,FundNo,6
Investor.csv,PrimaryContactFirstName,6
InvestorLeadPartnerRelation.csv,FullName,6
LimitedPartner.csv,PolicyDescription,6
CompanySimilarRelation.csv,SimilarCompanyHQAddressLine2,5
InvestorLocationRelation.csv,Address1,5
LimitedPartner.csv,LimitedPartnerLegalName,5
