runs_dir,round_index,worker_slot,batch_file,run_dir,active_attempt,attempt_index,first_task_index,last_task_index,status,reason,elapsed_seconds,timeout_seconds,classifier_rows,result_rows,round_entry_started_at,first_row_at,last_progress_at,deferred_at
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,1,1,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0226.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0226,/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0226/attempts/attempt_0012,12,6751,6780,deferred_long_tail,batch_timeout_exceeded,19388,3600,3,3,2026-04-27T08:34:26.768692+00:00,2026-04-27T13:32:36.478351+00:00,2026-04-27T13:32:36.478351+00:00,2026-04-27T13:57:35.727341+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,1,2,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0227.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0227,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0227/attempts/attempt_0002,2,6781,6810,deferred_long_tail,batch_timeout_exceeded,3619,3600,9,9,2026-04-27T08:34:26.768692+00:00,2026-04-27T08:42:05.161986+00:00,2026-04-27T08:46:13.882912+00:00,2026-04-27T09:34:46.136058+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,1,3,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0228.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0228,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0228/attempts/attempt_0002,2,6811,6840,deferred_long_tail,batch_timeout_exceeded,3619,3600,4,4,2026-04-27T08:34:26.768692+00:00,2026-04-27T08:42:05.161986+00:00,2026-04-27T08:46:44.866132+00:00,2026-04-27T09:34:46.136070+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,1,4,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0229.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0229,/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0229/attempts/attempt_0002,2,6841,6870,deferred_long_tail,batch_timeout_exceeded,19388,3600,30,30,2026-04-27T08:34:26.768692+00:00,,,2026-04-27T13:57:35.727351+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,1,5,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0230.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0230,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0230/attempts/attempt_0002,2,6871,6900,deferred_long_tail,batch_timeout_exceeded,3619,3600,3,3,2026-04-27T08:34:26.768692+00:00,2026-04-27T08:42:05.161986+00:00,2026-04-27T08:45:11.725311+00:00,2026-04-27T09:34:46.136102+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z,1,1,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0274.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z/batch_0274,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_queue_0274_plus100_21rounds_20260429T024832Z/batch_0274/attempts/attempt_0002,2,8191,8220,deferred_long_tail,batch_timeout_exceeded,16360,7200,12,12,2026-04-29T16:57:13.544874+00:00,2026-04-29T16:57:13.544874+00:00,2026-04-29T16:57:13.544874+00:00,2026-04-29T21:29:54.047757+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,2,1,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0231.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0231,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0231/attempts/attempt_0006,6,6901,6930,deferred_long_tail,batch_timeout_exceeded,7212,7200,17,17,2026-04-27T21:36:50.250972+00:00,2026-04-27T23:19:20.407223+00:00,2026-04-27T23:36:52.910836+00:00,2026-04-27T23:37:02.968955+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,2,2,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0232.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0232,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0232/attempts/attempt_0004,4,6931,6960,deferred_long_tail,batch_timeout_exceeded,3622,3600,4,4,2026-04-27T13:32:57.738594+00:00,2026-04-27T14:10:53.892363+00:00,2026-04-27T14:33:10.120892+00:00,2026-04-27T14:33:20.179153+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,2,3,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0233.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0233,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0233/attempts/attempt_0004,4,6961,6990,deferred_long_tail,batch_timeout_exceeded,3622,3600,8,8,2026-04-27T13:32:57.738594+00:00,2026-04-27T14:22:48.446786+00:00,2026-04-27T14:33:10.120892+00:00,2026-04-27T14:33:20.179160+00:00
/home/benl66/pitchbook/part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z,2,4,part5_analyse_company_to_token/agent_task_batches/crypto_company/batch_0234.jsonl,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0234,part5_analyse_company_to_token/agent_runs/crypto_company_parallel_eval_10rounds_20260427T083424Z/batch_0234/attempts/attempt_0006,6,6991,7020,deferred_long_tail,batch_timeout_exceeded,7212,7200,5,5,2026-04-27T21:36:50.250972+00:00,2026-04-27T23:20:20.632955+00:00,2026-04-27T23:36:52.910836+00:00,2026-04-27T23:37:02.968968+00:00
