InvestorID,InvestorName,source_methods,source_count,token_company_count,deal_count,lead_deal_count,fund_count,token_company_ids,token_company_names,deal_ids,fund_ids,matched_keywords,matched_columns,context
102022-12,.Pleiades Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,1,0,503449-93,MetaSing,201544-66T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: MetaSing; status=Former; holding=Minority; since=08/11/2022 | DealInvestorRelation: MetaSing; deal=201544-66T; date=08/11/2022; type=Seed Round; lead=Yes; fund= | InvestorInvestmentRelation: MetaSing; deal=201544-66T; date=08/11/2022; type=Seed Round; co_investors=
437739-40,0 Ventures,company_investor_relation|deal_investor_relation|investor_investment_relation,18,6,6,0,0,181215-28|221758-03|231701-59|268777-45|463164-58|97662-70,Ethereum|Livepeer|Deso|NEAR|Handshake ( Business/Productivity Software)|Orchid (Network Management Software),137876-59T|186043-15T|193269-79T|198768-97T|227564-47T|280493-92T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Ethereum; status=Active; holding=Minority; since= | CompanyInvestorRelation: Livepeer; status=Active; holding=Minority; since=01/05/2022 | CompanyInvestorRelation: Deso; status=Active; holding=Minority; since=07/01/2022 | CompanyInvestorRelation: NEAR; status=Active; holding=Minority; since=05/10/2022 | CompanyInvestorRelation: Handshake ( Business/Productivity Software); status=Active; holding=Minority; since=03/26/2020 | CompanyInvestorRelation: Orchid (Network Management Software); status=Active; holding=Minority; since=05/01/2022 | DealInvestorRelation: NEAR; deal=198768-97T; date=05/10/2022; type=Later Stage VC; lead=No; fund= | DealInvestorRelation: Orchid (Network Management Software); deal=193269-79T; date=05/01/2022; type=Later Stage VC; lead=No; fund= | DealInvestorRelation: Livepeer; deal=186043-15T; date=01/05/2022; type=Later Stage VC; lead=No; fund= | DealInvestorRelation: Handshake ( Business/Productivity Software); deal=137876-59T; date=03/26/20
229771-45,01 Advisors,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,14,2,4,0,2,234633-25|439147-18,Rarible|Mythical Games,118355-86T|174092-23T|174913-21T|182967-13T,16718-86F|18333-55F,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,CompanyInvestorRelation: Rarible; status=Active; holding=Minority; since=08/01/2021 | CompanyInvestorRelation: Mythical Games; status=Active; holding=Minority; since=01/28/2021 | DealInvestorRelation: Mythical Games; deal=182967-13T; date=11/04/2021; type=Later Stage VC; lead=No; fund=01 Advisors 02 | DealInvestorRelation: Rarible; deal=174913-21T; date=08/01/2021; type=Early Stage VC; lead=No; fund=01 Advisors Fund 01 | DealInvestorRelation: Mythical Games; deal=174092-23T; date=06/09/2021; type=Early Stage VC; lead=No; fund=01 Advisors Fund 01 | DealInvestorRelation: Mythical Games; deal=118355-86T; date=01/28/2021; type=Early Stage VC; lead=No; fund=01 Advisors 02 | InvestorInvestmentRelation: Mythical Games; deal=174092-23T; date=06/09/2021; type=Early Stage VC (Series B); co_investors=14 | InvestorInvestmentRelation: Rarible; deal=174913-21T; date=08/01/2021; type=Early Stage VC (Series A); co_investors=10 | InvestorInvestmentRelation: Mythical Games; deal=118355-86T; date=01/28/2
489010-60,01 Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,8,2,3,0,0,482042-44|484871-95,Clout.art|Dropper,183230-11T|184878-64T|199213-84T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Clout.art; status=Active; holding=Minority; since=09/23/2021 | CompanyInvestorRelation: Dropper; status=Former; holding=Minority; since=08/31/2019 | DealInvestorRelation: Dropper; deal=184878-64T; date=08/31/2019; type=Seed Round; lead=No; fund= | DealInvestorRelation: Clout.art; deal=183230-11T; date=09/23/2021; type=Seed Round; lead=No; fund= | DealInvestorRelation: Dropper; deal=199213-84T; date=04/01/2022; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: Dropper; deal=184878-64T; date=08/31/2019; type=Seed Round; co_investors=4 | InvestorInvestmentRelation: Clout.art; deal=183230-11T; date=09/23/2021; type=Seed Round; co_investors=7 | InvestorInvestmentRelation: Dropper; deal=199213-84T; date=04/01/2022; type=Early Stage VC; co_investors=5
340761-34,01Booster,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,4,1,1,0,1,436147-12,Dev Protocol,206911-45T,21835-90F,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,CompanyInvestorRelation: Dev Protocol; status=Active; holding=Minority; since=10/26/2022 | DealInvestorRelation: Dev Protocol; deal=206911-45T; date=10/26/2022; type=Later Stage VC; lead=No; fund=01Booster Capital No. 1 Fund | InvestorInvestmentRelation: Dev Protocol; deal=206911-45T; date=10/26/2022; type=Later Stage VC; co_investors=6 | FundInvestmentRelation: Dev Protocol; fund=01Booster Capital No. 1 Fund; deal=206911-45T; date=10/26/2022; status=Active Investment
506677-78,01NODE,company_investor_relation|deal_investor_relation|investor_investment_relation,21,7,7,0,0,227820-52|232292-44|265169-71|459151-48|493130-71|527101-03|533563-84,e-Money|The Graph|Quicksilver Zone|Nolus|Terraform Labs|Solana|Babylon Labs,176806-36T|184584-43T|208136-80T|222923-26T|234020-17T|260738-20T|277055-74T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: e-Money; status=Former; holding=Minority; since= | CompanyInvestorRelation: The Graph; status=Active; holding=Minority; since=01/21/2022 | CompanyInvestorRelation: Quicksilver Zone; status=Active; holding=Minority; since=01/01/2022 | CompanyInvestorRelation: Nolus; status=Active; holding=Minority; since=05/02/2023 | CompanyInvestorRelation: Terraform Labs; status=Former; holding=Minority; since=07/19/2021 | CompanyInvestorRelation: Solana; status=Active; holding=Minority; since=11/01/2024 | CompanyInvestorRelation: Babylon Labs; status=Active; holding=Minority; since=05/30/2024 | DealInvestorRelation: The Graph; deal=184584-43T; date=01/21/2022; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Terraform Labs; deal=176806-36T; date=07/19/2021; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Solana; deal=277055-74T; date=11/01/2024; type=Later Stage VC; lead=No; fund= | DealInvestorRelation: Babylon Labs; deal=260738-20T; date=05/30/2024; t
484667-74,040 capital,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,462562-57,SEDA (Financial Services),168528-88T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: SEDA (Financial Services); status=Active; holding=Minority; since=05/20/2021 | DealInvestorRelation: SEDA (Financial Services); deal=168528-88T; date=05/20/2021; type=Seed Round; lead=No; fund= | InvestorInvestmentRelation: SEDA (Financial Services); deal=168528-88T; date=05/20/2021; type=Seed Round; co_investors=28
608713-21,071labs,company_investor_relation|deal_investor_relation|investor_investment_relation,69,23,23,0,0,467944-12|493867-99|496120-42|496124-56|498034-99|504132-94|515497-42|518515-12|521141-50|529637-95|530298-01|531099-28|537586-03|572475-88|590470-03|592891-84|631417-87|691995-07|697027-33|756076-69|803034-82|894038-14|958577-68,Scallop Labs|Gata Teachnology|Solv (Financial Services)|Yuliverse|DeAgentAI|MetaCene|OpenEden|Catizen|Lifeform (Financial Software)|NemoLab|Web3Go Technology|Mex Technology (Singapore)|Momentum Labs|ZeroBase|Bracket|Pell Network|XRADERS|Tria|Particle Network|Gopher AI|UXLINK|Ultiverse|Quack AI (Network Management Software),223068-79T|223794-64T|233565-85T|249294-79T|252024-85T|254048-41T|254275-75T|254716-12T|256011-31T|258103-54T|263298-52T|264345-94T|268443-91T|274573-54T|274782-16T|275153-77T|285980-95T|286888-15T|292724-92T|296786-62T|300653-56T|305549-83T|311819-05T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Scallop Labs; status=Active; holding=Minority; since=04/28/2024 | CompanyInvestorRelation: Gata Teachnology; status=Active; holding=Minority; since=03/01/2025 | CompanyInvestorRelation: Solv (Financial Services); status=Active; holding=Minority; since=10/14/2024 | CompanyInvestorRelation: Yuliverse; status=Active; holding=Minority; since=06/12/2024 | CompanyInvestorRelation: DeAgentAI; status=Active; holding=Minority; since=08/28/2025 | CompanyInvestorRelation: MetaCene; status=Active; holding=Minority; since=03/11/2024 | CompanyInvestorRelation: OpenEden; status=Active; holding=Minority; since=09/24/2024 | CompanyInvestorRelation: Catizen; status=Active; holding=Minority; since=10/25/2022 | CompanyInvestorRelation: Lifeform (Financial Software); status=Active; holding=Minority; since=11/15/2023 | CompanyInvestorRelation: NemoLab; status=Active; holding=Minority; since=04/01/2025 | CompanyInvestorRelation: Web3Go Technology; status=Active; holding=Minority; sin
506744-38,08 Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,439051-24,Phantasma,157143-97T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Phantasma; status=Active; holding=Minority; since= | DealInvestorRelation: Phantasma; deal=157143-97T; date=; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: Phantasma; deal=157143-97T; date=; type=Early Stage VC; co_investors=5
483839-02,0de Capital,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,468005-59,Polkarare,183372-49T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Polkarare; status=Former; holding=Minority; since=04/29/2021 | DealInvestorRelation: Polkarare; deal=183372-49T; date=04/29/2021; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: Polkarare; deal=183372-49T; date=04/29/2021; type=Early Stage VC; co_investors=25
552797-20,0G labs,company_investor_relation|deal_investor_relation|investor_investment_relation,12,4,4,0,0,498034-99|589106-89|616539-79|752904-55,Cygnus Labs|Infinity Ground|Tria|Talus Network,268665-76T|278470-36T|288492-31T|296786-62T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Cygnus Labs; status=Active; holding=; since=08/10/2024 | CompanyInvestorRelation: Infinity Ground; status=Active; holding=; since=07/30/2024 | CompanyInvestorRelation: Tria; status=Active; holding=Minority; since=10/14/2025 | CompanyInvestorRelation: Talus Network; status=Active; holding=Minority; since=11/26/2024 | DealInvestorRelation: Tria; deal=296786-62T; date=10/14/2025; type=Seed Round; lead=No; fund= | DealInvestorRelation: Cygnus Labs; deal=288492-31T; date=08/10/2024; type=Accelerator/Incubator; lead=No; fund= | DealInvestorRelation: Talus Network; deal=278470-36T; date=11/26/2024; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Infinity Ground; deal=268665-76T; date=07/30/2024; type=Accelerator/Incubator; lead=No; fund= | InvestorInvestmentRelation: Cygnus Labs; deal=288492-31T; date=08/10/2024; type=Accelerator/Incubator; co_investors=1 | InvestorInvestmentRelation: Infinity Ground; deal=268665-76T; date=07/30/2024; type=Accelerator/Incu
606213-82,0x Consulting Group,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,503455-51,REVOX (Software Development Applications),263879-56T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: REVOX (Software Development Applications); status=Active; holding=Minority; since=05/03/2024 | DealInvestorRelation: REVOX (Software Development Applications); deal=263879-56T; date=05/03/2024; type=Early Stage VC; lead=No; fund= | InvestorInvestmentRelation: REVOX (Software Development Applications); deal=263879-56T; date=05/03/2024; type=Early Stage VC; co_investors=14
471847-78,0x.Ventures,company_investor_relation|deal_investor_relation|investor_investment_relation,6,2,2,0,0,471841-12|482533-30,Slope Finance|THINK Agents,178772-86T|181794-70T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Slope Finance; status=Active; holding=Minority; since=08/23/2021 | CompanyInvestorRelation: THINK Agents; status=Former; holding=Minority; since=09/06/2021 | DealInvestorRelation: THINK Agents; deal=181794-70T; date=09/06/2021; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Slope Finance; deal=178772-86T; date=08/23/2021; type=Seed Round; lead=No; fund= | InvestorInvestmentRelation: THINK Agents; deal=181794-70T; date=09/06/2021; type=Early Stage VC; co_investors=19 | InvestorInvestmentRelation: Slope Finance; deal=178772-86T; date=08/23/2021; type=Seed Round; co_investors=18
707582-89,0x0 Venture,company_investor_relation|deal_investor_relation|investor_investment_relation,24,8,8,0,0,1165021-12|227820-52|229983-49|436240-00|463331-08|483165-28|483894-01|707573-62,Pixelcraft Studios|Nexera Network|KIOS|Sonic|Solana|Hippocrat|ALEXGO|Biswap,165534-49T|169268-05T|182275-12T|248001-31T|260177-05T|276878-35T|277055-74T|314136-37T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: Pixelcraft Studios; status=Active; holding=Minority; since=11/23/2020 | CompanyInvestorRelation: Nexera Network; status=Active; holding=Minority; since=01/01/2021 | CompanyInvestorRelation: KIOS; status=Active; holding=Minority; since=11/08/2024 | CompanyInvestorRelation: Sonic; status=Active; holding=Minority; since=05/23/2024 | CompanyInvestorRelation: Solana; status=Active; holding=Minority; since=11/01/2024 | CompanyInvestorRelation: Hippocrat; status=Active; holding=Minority; since= | CompanyInvestorRelation: ALEXGO; status=Active; holding=Minority; since=03/26/2024 | CompanyInvestorRelation: Biswap; status=Active; holding=Minority; since=10/20/2021 | DealInvestorRelation: Biswap; deal=182275-12T; date=10/20/2021; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Pixelcraft Studios; deal=169268-05T; date=11/23/2020; type=Early Stage VC; lead=No; fund= | DealInvestorRelation: Nexera Network; deal=165534-49T; date=01/01/2021; type=Early Stage VC; l
521428-69,0x_d24,company_investor_relation|deal_investor_relation|investor_investment_relation,3,1,1,0,0,521409-97,GammaSwap,218004-58T,,part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,CompanyInvestorRelation: GammaSwap; status=Active; holding=Minority; since=02/03/2023 | DealInvestorRelation: GammaSwap; deal=218004-58T; date=02/03/2023; type=Seed Round; lead=No; fund= | InvestorInvestmentRelation: GammaSwap; deal=218004-58T; date=02/03/2023; type=Seed Round; co_investors=18
