InvestorID,InvestorName,current_task_index,PrimaryInvestorType,Website,normalized_domain,current_token_company_count,current_source_methods
550403-92,Ivan on Tech,1433,Angel (individual),,,8,company_investor_relation|deal_investor_relation|investor_investment_relation
482437-54,Bharat Krymo,1540,Angel (individual),,,7,company_investor_relation|deal_investor_relation|investor_investment_relation
156271-06,Kun Gao,1786,Angel (individual),,,6,company_investor_relation|deal_investor_relation|investor_investment_relation
502970-50,Weehodl,1855,Venture Capital,www.weehodl.com,weehodl.com,6,company_investor_relation|deal_investor_relation|investor_investment_relation
496306-18,Cronos Accelerator,1890,Accelerator/Incubator,cronos.org,cronos.org,5,company_investor_relation|deal_investor_relation|investor_investment_relation
495399-07,Hedera Foundation,1895,Limited Partner,www.hedera.foundation,hedera.foundation,5,company_investor_relation|deal_investor_relation|investor_investment_relation
470497-51,Black Ventures,1967,Family Office,www.blkvc.com,blkvc.com,5,company_investor_relation|deal_investor_relation|investor_investment_relation
507069-28,Desert Whales,1995,Venture Capital,www.desertwhales.com,desertwhales.com,5,company_investor_relation|deal_investor_relation|investor_investment_relation
769688-02,Funders,2016,Venture Capital,www.funders.vc,funders.vc,5,company_investor_relation|deal_investor_relation|investor_investment_relation
482500-72,GameStarter,2020,Accelerator/Incubator,www.gamestarter.com,gamestarter.com,5,company_investor_relation|deal_investor_relation|investor_investment_relation
229767-49,GX Chain,2026,VC-Backed Company,www.rei.network,rei.network,5,company_investor_relation|deal_investor_relation|investor_investment_relation
91510-66,Lanzadera Accelerator,2049,Accelerator/Incubator,www.lanzadera.es,lanzadera.es,5,company_investor_relation|deal_investor_relation|investor_investment_relation
462578-59,Moonchain Capital,2064,Venture Capital,www.moonchain.capital,moonchain.capital,5,company_investor_relation|deal_investor_relation|investor_investment_relation
482674-96,PKO Investments,2082,VC-Backed Company,www.pko.xyz,pko.xyz,5,company_investor_relation|deal_investor_relation|investor_investment_relation
509988-97,XDC Network,2131,PE-Backed Company,www.xinfin.org,xinfin.org,5,company_investor_relation|deal_investor_relation|investor_investment_relation
106598-89,Justin Waldron,2187,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
501583-33,The Operating Group,2202,Venture Capital,,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
519430-69,BORA CHAIN,2222,Venture Capital,www.boraportal.com,boraportal.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
490188-07,Funverse Capital,2224,Corporate Venture Capital,funverse.capital,funverse.capital,4,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
53920-36,Science,2235,Venture Capital,www.science-inc.com,science-inc.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
482724-28,Anypad,2260,VC-Backed Company,www.anypad.io,anypad.io,4,company_investor_relation|deal_investor_relation|investor_investment_relation
589223-89,Base (Financial Software),2273,Corporation,www.base.org,base.org,4,company_investor_relation|deal_investor_relation|investor_investment_relation
492791-68,Block Dojo,2282,Accelerator/Incubator,www.blockdojo.io,blockdojo.io,4,company_investor_relation|deal_investor_relation|investor_investment_relation
234230-14,Celer,2290,VC-Backed Company,www.celer.network,celer.network,4,company_investor_relation|deal_investor_relation|investor_investment_relation
149806-63,Ed3n Ventures,2344,Accelerator/Incubator,ed3n.ventures,ed3n.ventures,4,company_investor_relation|deal_investor_relation|investor_investment_relation
126198-10,Excalibur Capital,2353,Corporation,www.excaliburcapital.pl,excaliburcapital.pl,4,company_investor_relation|deal_investor_relation|investor_investment_relation
184998-97,Jeremy San,2395,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
226399-24,Kevin Chou,2407,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
481184-92,Moon Carl,2435,Angel (individual),,,4,company_investor_relation|deal_investor_relation|investor_investment_relation
11263-96,Origin Ventures Group,2455,Venture Capital,www.originventures.com,originventures.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation
279510-85,QU Ventures,2475,Venture Capital,www.qu-ventures.com,qu-ventures.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation
493064-92,RADA,2476,Corporation,www.rada.ac.uk,rada.ac.uk,4,company_investor_relation|deal_investor_relation|investor_investment_relation
490834-45,Ready Player,2482,Corporation,www.readyplayerdao.io,readyplayerdao.io,4,company_investor_relation|deal_investor_relation|investor_investment_relation
494478-46,RIKX CAPITAL,2486,Venture Capital,rikxcapital.com,rikxcapital.com,4,company_investor_relation|deal_investor_relation|investor_investment_relation
493349-14,Three Lions Capital,2522,Venture Capital,www.3lions.capital,3lions.capital,4,company_investor_relation|deal_investor_relation|investor_investment_relation
431392-69,TokenPocket,2526,Venture Capital,www.tokenpocket.pro,tokenpocket.pro,4,company_investor_relation|deal_investor_relation|investor_investment_relation
439426-27,Frontier Wallet,2575,VC-Backed Company,www.frontier.xyz,frontier.xyz,3,company_investor_relation|deal_investor_relation|investor_investment_relation
463972-69,Z Venture Capital,2584,Corporate Venture Capital,zvc.vc,zvc.vc,3,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
500605-66,KaJ Labs,2621,Corporation,kajlabs.org,kajlabs.org,3,company_investor_relation|deal_investor_relation|investor_investment_relation
535210-75,MixMarvel DAO Venture,2629,Venture Capital,daoventure.mixmarvel.com,daoventure.mixmarvel.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation
66198-97,Line Ventures,2654,Corporate Venture Capital,www.lineventurescorp.com,lineventurescorp.com,3,fund_investment_relation
230684-86,Oasis Labs,2693,VC-Backed Company,www.oasislabs.com,oasislabs.com,3,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
