task_index,InvestorID,InvestorName,InvestorAlsoKnownAs,InvestorFormerName,InvestorLegalName,Website,normalized_domain,ParentCompany,Exchange,Ticker,HQLocation,HQCountry,PrimaryInvestorType,OtherInvestorTypes,PreferredInvestmentTypes,PreferredVerticals,OtherInvestmentPreferences,LastClosedFundName,LastClosedFundType,Description,MatchedKeywords,MatchedColumns,InvestorCapabilityContext,SearchPolicy,AgentTaskScope
1,227162-53,NGC Ventures,,NEO Global Capital,,www.ngc.fund,ngc.fund,,,,"Singapore, Singapore",Singapore,Venture Capital,Fund of Funds,"Early Stage VC, Grant, Seed Round","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech, Infrastructure","Long-Term Investor, Prefers minority stake, Will syndicate",NGC Metaverse Ventures,Venture - General,"Founded in 2017, NGC Ventures is a venture capital investment firm headquartered in Singapore. The firm seeks to invest in blockchain, artificial intelligence, fintech, and web 3.0 infrastructure sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 184 token companies, 199 deals, 3 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Fund of Funds | PreferredVerticals: Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech, Infrastructure | PreferredI",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2,439861-60,AU21 Capital,,,,www.au21.capital,au21.capital,,,,"San Francisco, CA",United States,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",AU21 Polygon Ecosystem Fund,Venture - General,"Founded in 2017, AU21 Capital is a venture capital firm based in San Francisco, California. The firm invests in companies operating in the blockchain technology and artificial intelligence sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 168 token companies, 172 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
3,230407-21,YZi Labs,,Binance Labs,,yzilabs.io,yzilabs.io,Binance,,,"Hong Kong, Hong Kong",Hong Kong,Venture Capital,Accelerator/Incubator,Accelerator/Incubator,"Cryptocurrency/Blockchain, FinTech",Prefers minority stake,Binance Labs Blockchain Fund,Venture - General,"Founded in 2017, Binance Labs is a venture capital firm based in Hong Kong. The firm prefers to invest in the blockchain technologies, cryptocurrencies, and web3 sectors. The firm is a corporate venture arm of Binance.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 161 token companies, 192 deals, 3 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Accelerator/Incubator | CompanyInves",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
4,234449-20,Coinbase Ventures,,,,,,Coinbase Global,,,"Oakland, CA",United States,Corporate Venture Capital,,"Early Stage VC, Seed Round","B2B Payments, Cryptocurrency/Blockchain, FinTech, Internet of Things, SaaS, TMT","Prefers minority stake, Will syndicate",,,"Founded in 2018, Coinbase Ventures is a venture capital arm of Coinbase Global based in Oakland, California. The firm seeks to invest in web3, crypto, blockchain, and technology sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 150 token companies, 179 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Corporate Venture Capital | PreferredVerticals: B2B Payments, Cryptocurrency/Blockchain, FinTech, Internet of Things, SaaS, TMT | PreferredInvestmentTypes: Early Stage VC, Seed Roun",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
5,232671-70,LD Capital,,,,www.ldcap.com,ldcap.com,,,,"Hong Kong, Hong Kong",Hong Kong,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",,,"LD Capital is a venture capital firm based in Beijing, China. The firm focuses on blockchain investment, securities, equity investment, and trading.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 134 token companies, 136 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: Huddle01;",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
6,466147-81,OKX Ventures,,,,,,OKX,,,"Singapore, Singapore",Singapore,Corporate Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, TMT","Prefers minority stake, Will syndicate",Ankaa Fund,Venture - General,"Founded in 2021, OKX Ventures is the corporate venture capital arm of OKX, based in Singapore. The firm seeks to invest in financial services, information technology, blockchain & financial technology sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 127 token companies, 136 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Corporate Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, TMT | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelat",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
7,466476-40,Hashkey Capital,,,HashKey Capital Singapore Pte. Ltd.,hashkey.capital,hashkey.capital,HashKey Digital Asset Group,,,"Singapore, Singapore",Singapore,Corporate Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, SaaS","Prefers minority stake, Will syndicate",Hashkey Capital Blockchain Fund III,Venture Capital - Early Stage,"Established in 2018, Hashkey Capital is the corporate venture capital arm of HashKey Group based in Singapore. The firm focuses on making investments in the blockchain technology sector startups.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 124 token companies, 146 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Corporate Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, SaaS | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRela",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
8,483585-04,RR2 Capital,,,,www.rr2.capital,rr2.capital,,,,"Andorra la Vella, Andorra",Andorra,Venture Capital,,"Early Stage VC, Seed Round","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, TMT","Long-Term Investor, Prefers minority stake, Will syndicate",,,"Founded in 2021, RR2 Capital is a venture capital firm based in Andorra la Vella, Andorra. The firm prefers to invest in companies operating in the blockchain technology, artificial intelligence, machine learning, and digital asset sectors.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 120 token companies, 120 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, TMT | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Portal to B",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
9,65039-59,Animoca Brands,Animoca,Blackfire Minerals,Animoca Brands Corporation Limited.,www.animocabrands.com,animocabrands.com,,,,"Hong Kong, Hong Kong",Hong Kong,PE-Backed Company,"Corporation, Venture Capital",Merger/Acquisition,TMT,Prefers majority stake,Decima Fund,Venture - General,"Animoca Brands is a developer of mobile games. The company develops and publishes mobile games for smartphones and tablet such as Garfield, Ben10, Doraemon, Astro Boy and Ultraman. It also publishes games developed by third parties. The company was founded in 2006. The company is headquartered in Hong Kong.",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 Rule B company investor graph: 118 token companies, 138 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: PE-Backed Company | OtherInvestorTypes: Corporation, Venture Capital | PreferredVerticals: TMT | PreferredInvestmentTypes: Merger/Acquisition | CompanyInvestorRelation: Zeus Network",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
10,465807-97,Shima Capital,,,Shima Capital Management LLC,www.shima.capital,shima.capital,,,,"Irvine, CA",United States,Venture Capital,,"Early Stage VC, Seed Round","Cryptocurrency/Blockchain, Gaming","Prefers minority stake, Will syndicate",Shima Capital Fund I,Venture Capital - Early Stage,"Founded in 2021, Shima Capital is a venture capital investment firm based in Irvine, California. The firm seeks to invest in information technology, web3 blockchain & gaming sectors. This firm is a Registered Investment Adviser (RIA).",part5_rule_b_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 Rule B company investor graph: 118 token companies, 128 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, Gaming | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Taker Labs; status=Former; holding=Minority; since=0",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
