InvestorID,InvestorName,delta_status,in_current_list,in_rule_b_list,current_task_index,rule_b_task_index,current_token_company_count,rule_b_company_count,current_source_methods,rule_b_source_methods,PrimaryInvestorType,Website,normalized_domain
340912-45,#adm Ventures,rule_b_only_added,no,yes,,4288,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.adm-ventures.com,adm-ventures.com
168820-12,10X Capital Management,rule_b_only_added,no,yes,,4302,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Hedge Fund,,
469939-60,1Sharpe Ventures,rule_b_only_added,no,yes,,4311,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.1sharpe.ventures,1sharpe.ventures
538163-11,28 Ventures,rule_b_only_added,no,yes,,4316,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.28.ventures,28.ventures
458408-62,2B Global Capital,rule_b_only_added,no,yes,,4317,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Growth/Expansion,www.2bgc.vc,2bgc.vc
711801-28,2K INVESTMENTS PTE. LTD.,rule_b_only_added,no,yes,,4319,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,,
10411-93,360 Capital,rule_b_only_added,no,yes,,4049,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.360cap.vc,360cap.vc
481175-65,55 Ventures,rule_b_only_added,no,yes,,4350,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
459625-24,7RIDGE,rule_b_only_added,no,yes,,3837,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,PE/Buyout,7ridge.com,7ridge.com
498573-46,8 Blocks Capital,rule_b_only_added,no,yes,,4362,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.8blocks.capital,8blocks.capital
52604-38,A-Grade Investments,rule_b_only_added,no,yes,,4052,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.agradeinvestments.com,agradeinvestments.com
11688-67,AAM,rule_b_only_added,no,yes,,4372,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.aamcompany.com,aamcompany.com
463399-84,Aarthi Ramamurthy,rule_b_only_added,no,yes,,4378,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
741541-42,Abhimanyu Bansal,rule_b_only_added,no,yes,,4383,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
747972-46,Abishek Kannan,rule_b_only_added,no,yes,,4385,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
56220-76,ABN AMRO Bank,rule_b_only_added,no,yes,,4386,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.abnamro.com,abnamro.com
227129-32,Accelerator Technology Gliwice,rule_b_only_added,no,yes,,4398,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,akceleratorgliwice.pl,akceleratorgliwice.pl
399060-91,Accuro Fund Solutions,rule_b_only_added,no,yes,,4054,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Asset Manager,,
455173-66,Acuity Partners.,rule_b_only_added,no,yes,,4405,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Real Estate,www.acuitypartnersnyc.com,acuitypartnersnyc.com
438093-64,Adam Benayoun,rule_b_only_added,no,yes,,4408,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
105997-87,Adam Draper,rule_b_only_added,no,yes,,4411,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
512921-35,Adshares,rule_b_only_added,no,yes,,4427,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.adshares.net,adshares.net
472231-09,Adventure Fund,rule_b_only_added,no,yes,,4058,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.adventure.fund,adventure.fund
52339-78,AEP Capital,rule_b_only_added,no,yes,,4436,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,PE/Buyout,www.aepcapital.com,aepcapital.com
268194-34,Aeternity,rule_b_only_added,no,yes,,4439,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.aeternity.com,aeternity.com
462009-97,AHP Investments,rule_b_only_added,no,yes,,4453,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
465629-23,AIP Venture Partners,rule_b_only_added,no,yes,,4460,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,aipinvestment.com,aipinvestment.com
731714-14,AJAX Capital Partners,rule_b_only_added,no,yes,,4467,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.ajax.capital,ajax.capital
500935-69,Ajay Rayasam,rule_b_only_added,no,yes,,4468,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
741531-88,Alex Kehaya,rule_b_only_added,no,yes,,4502,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
517646-08,Alexandre Raffin,rule_b_only_added,no,yes,,4524,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
108968-59,AlleyCorp,rule_b_only_added,no,yes,,4544,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.alleycorp.com,alleycorp.com
500933-89,Allison Duettman,rule_b_only_added,no,yes,,4550,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
266228-38,Ally Ventures,rule_b_only_added,no,yes,,4552,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporate Venture Capital,www.allyventures.com,allyventures.com
232280-92,Almak Capital,rule_b_only_added,no,yes,,4553,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,PE/Buyout,www.almakcapital.ae,almakcapital.ae
497968-39,Alok Tayi,rule_b_only_added,no,yes,,4554,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
460321-48,Alpine Capital (Colorado),rule_b_only_added,no,yes,,4573,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.alpcapllc.com,alpcapllc.com
491457-79,Altari Ventures,rule_b_only_added,no,yes,,4579,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,altariventures.com,altariventures.com
338612-41,Alternate Ventures,rule_b_only_added,no,yes,,4584,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
455221-63,Alua Capital,rule_b_only_added,no,yes,,4589,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Hedge Fund,aluacapital.com,aluacapital.com
11109-61,Amadeus Capital Partners,rule_b_only_added,no,yes,,4594,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.amadeuscapital.com,amadeuscapital.com
463354-48,Amino Collective,rule_b_only_added,no,yes,,4607,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.aminocollective.com,aminocollective.com
233906-95,Amplifyher Ventures,rule_b_only_added,no,yes,,4063,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.amplifyherventures.com,amplifyherventures.com
436255-03,Anchor Capital GP,rule_b_only_added,no,yes,,4622,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Growth/Expansion,www.anchorcapitalgp.com,anchorcapitalgp.com
